Image,Question,Answer
f3cc541a8100adb,What color is the chocolate coating on the blueberries,chocolate
f3cc541a8100adb,What type of fruit is covered in chocolate,brown
f3cc541a8100adb,How are the blueberries arranged in the image,blueberries
f3cc541a8100adb,Which part of the image has the clearest blueberries,clustered
f3cc541a8100adb,Where are most of the chocolate covered blueberries located,in focus
12a8f01df9e5864,What is the color of the blueberry lemonade,red-purple
12a8f01df9e5864,What type of berries are inside the glass,blueberries
12a8f01df9e5864,Where are the blueberries floating,on top of
12a8f01df9e5864,What color is the lemon slice on the rim of the glass,yellow
12a8f01df9e5864,Where are the blueberries scattered,scattered
de80a4bceda81ce,What color is the blueberry sauce,purple
de80a4bceda81ce,What is the dark purple liquid on the French toast called,sauce
de80a4bceda81ce,What color are the French toast pieces,golden
de80a4bceda81ce,Where is the blueberry sauce concentrated,on the toast
de80a4bceda81ce,What color is the mint sprig on the toast,green
edcf433b4d8b884,What color are the blueberries,purple
edcf433b4d8b884,What type of fruit is being pickled,blueberries
edcf433b4d8b884,Where are the blueberries located in the image,located in
edcf433b4d8b884,What are the blueberries on the crostini garnished with,garnished
edcf433b4d8b884,What is layered beneath the blueberries on the crostini,cheese
da30308fe6af571,What color are the blueberry preserves,purple
da30308fe6af571,What is the jar made of,glass jar
da30308fe6af571,How much of the jar is filled with preserves,filled
da30308fe6af571,Where are the blueberries scattered,scattered
da30308fe6af571,What color is the plate,on a light beige plate
52ae66d8d103c25,What color are the leafy parts of the bok choy,green
52ae66d8d103c25,What type of vegetable is being cooked,bok choy
52ae66d8d103c25,What color is the sauce used for braising,brown
52ae66d8d103c25,Where is the bok choy arranged,inside a brown pan
52ae66d8d103c25,What color are the stems of the bok choy,yellow
d4941f7e58c78f4,What color are the leaves of the baby bok choy,green
d4941f7e58c78f4,What vegetable is featured in the dish,baby bok choy
d4941f7e58c78f4,What ingredient is implied but not distinctly visible,garlic
d4941f7e58c78f4,Where are the stalks of the baby bok choy located,inside
d4941f7e58c78f4,Where is the dish sitting,metal pot
315a3fc38217260,What type of vegetable is vibrant green in the dish,bok choy
315a3fc38217260,How are the bok choy and mushrooms arranged in the dish,intermixed with
315a3fc38217260,How would you describe the color of the bok choy,vibrant
315a3fc38217260,What type of mushrooms are in the dish,mushrooms
315a3fc38217260,What is the shape of the shiitake mushrooms,sliced
49f8950ea65da68,What is the texture of the sauce on the bok choy,glazed
49f8950ea65da68,What type of vegetable is shown in the image,bok choy
49f8950ea65da68,What color are the leafy tops of the bok choy,green
49f8950ea65da68,How are the bok choy arranged on the plate,arranged
49f8950ea65da68,Where are the bok choy arranged on the plate,of the white
b01b6b3073938fd,What color is the bowl,green
b01b6b3073938fd,What is the bok choy served in,bowl
b01b6b3073938fd,How would you describe the color of the bok choy leaves,vibrant
b01b6b3073938fd,Where are the small golden brown pieces scattered,throughout
b01b6b3073938fd,What type of vegetable is in the bowl,bok choy
b3f05ca06d5f2e6,What color are some of the bok choy pieces,yellow
b3f05ca06d5f2e6,What vegetable is shown in the image,bok choy
b3f05ca06d5f2e6,What hue do some bok choy pieces have,greenish-yellow
b3f05ca06d5f2e6,How are some bok choy pieces positioned,leaning upwards
b3f05ca06d5f2e6,What do many bok choy pieces have on them,spots
1afcb39870b07b7,What color are the leaves of the bok choy,green
1afcb39870b07b7,What type of vegetable is featured on the plate,bok choy
1afcb39870b07b7,What color is the Thai peanut sauce,brown
1afcb39870b07b7,Where is the bok choy located,on the plate
1afcb39870b07b7,What is sprinkled on top of the bok choy and sauce,peanuts
f10974be5bfa64c,What color is the plate,white
f10974be5bfa64c,What type of dish is the bok choy stir-fry served on,plate
f10974be5bfa64c,What color are the bok choy bulbs,green
f10974be5bfa64c,Where are the bok choy leaves located,on
f10974be5bfa64c,"What are the small, light beige pieces sprinkled throughout the bok choy",garlic
720368414676b28,Where is the smoked bologna located in the image,located in
720368414676b28,What color is the metal baking pan in the image,gray
720368414676b28,What type of meat is shown in the image,bologna
720368414676b28,What color does the inside of the bologna appear to be,reddish-pink
720368414676b28,How would you describe the surface of the bologna,textured
368515dc634a3a3,What color are the bologna slices,reddish-brown
368515dc634a3a3,What shape are the pieces of deer bologna,slices
368515dc634a3a3,What type of meat is used in the bologna,deer
368515dc634a3a3,Where are the bologna slices placed,on a white surface
368515dc634a3a3,How many slices are in the top row,ten
858acb277d40278,What material are the jars made of,glass
858acb277d40278,What color are the bologna slices in the left jar,brownish-orange
858acb277d40278,What do the jars contain,contains
858acb277d40278,What is interspersed with the bologna slices in the right jar,peppers
858acb277d40278,Where is the bologna in the left jar located,in the left jar
c44e9cd62a0c330,What color is the bologna,reddish-pink
c44e9cd62a0c330,What type of meat is used in the sandwich,bologna
c44e9cd62a0c330,What color is the plate,white
c44e9cd62a0c330,Where is the dark brown ring located on the bologna,on the side
c44e9cd62a0c330,What color is the mustard,yellow
eed8781f7c6e76f,What color is the Bologna Salad Sandwich Spread,pink
eed8781f7c6e76f,What is the Bologna Salad Sandwich Spread located in,bowl
eed8781f7c6e76f,Where are the crackers located,under the bowl
eed8781f7c6e76f,What color are the crackers,golden-brown
eed8781f7c6e76f,Where is the bowl located,located
ecca9b6404c164d,What color is the base layer of mashed potatoes in the casserole,yellow
ecca9b6404c164d,What type of dish is the fried bologna served in,casserole
ecca9b6404c164d,What type of meat is included in the casserole,bologna
ecca9b6404c164d,What color are the broccoli florets on the plate,green
ecca9b6404c164d,Where is the fried bologna casserole located on the plate,on the plate
3353102400fd9d9,Is the Bologna homemade,homemade
3353102400fd9d9,What type of meat is shown in the image,Bologna
3353102400fd9d9,What color are the Bologna slices,pinkish-brown
3353102400fd9d9,Where is the Bologna placed,on a red cutting board
3353102400fd9d9,What form is the Bologna presented in,slices
c7b83e44166bac8,What color is the penne pasta,orange
c7b83e44166bac8,What type of pasta is shown in the image,pasta
c7b83e44166bac8,What type of sauce is coating the penne pasta,bolognese
c7b83e44166bac8,What color are the parsley leaves,green
c7b83e44166bac8,Where are the parsley leaves placed,on top
4e459d60fbf32da,What color is the plate,white
4e459d60fbf32da,What is the base of the dish served on,plate
4e459d60fbf32da,What color are the zucchini noodles,yellow
4e459d60fbf32da,What color is the pasta,green
4e459d60fbf32da,Where is the shredded white cheese placed,on top
ba6fcc58d8b5770,What color is the bolognese,reddish-brown
ba6fcc58d8b5770,What is the bolognese doing to the pasta,covering
ba6fcc58d8b5770,What is the bolognese served on,plate
ba6fcc58d8b5770,What color is the pasta,yellow
ba6fcc58d8b5770,Where is the bolognese located on the plate,in the center
367ba46819fbecd,What color is the pasta,light
367ba46819fbecd,What type of dish is shown in the image,pasta
367ba46819fbecd,What color is the turkey,brown
367ba46819fbecd,What color is the sauce,reddish-orange
367ba46819fbecd,Where are the ingredients distributed,throughout
b92771ab6162887,What color are the tops of the dinner bombs,golden brown
b92771ab6162887,What are the golden brown items in the image called,dinner bombs
b92771ab6162887,What color is the interior filling of the dinner bombs,white
b92771ab6162887,What is sprinkled on top of the dinner bombs,with white salt
b92771ab6162887,What color is the gravy in the small bowl,light brown
443d83c0dd5243d,What color are the apple bombs,golden-brown
443d83c0dd5243d,What fruit is used in the filling of the bombs,apple
443d83c0dd5243d,What color are the diced apples in the filling,yellow
443d83c0dd5243d,Where are the apple bombs placed,on a white plate
443d83c0dd5243d,How is the sugar-cinnamon mixture distributed around the plate,scattered
65b4da101ca0283,What color is the top of the dough on the breakfast bombs,golden-brown
65b4da101ca0283,What is the main ingredient used to make the outer layer of the breakfast bombs,dough
65b4da101ca0283,What color are the flecks of parsley on the breakfast bombs,green
65b4da101ca0283,What are the small green flecks on the surface of the breakfast bombs,with parsley
65b4da101ca0283,What makes the surface of the breakfast bombs shiny,glistening
41081eecbb8b2b4,What color is the bacon on the chicken bombs,pink
41081eecbb8b2b4,What type of meat is used in the chicken bombs,chicken
41081eecbb8b2b4,What color are the stripes on the bacon,red
41081eecbb8b2b4,What is the chicken wrapped with,with brown bacon
41081eecbb8b2b4,What is in the top left corner of the plate,salad
081c681d784f735,Which potato bomb is the most noticeable in the image,prominent
081c681d784f735,What is the main ingredient of the bombs,potato
081c681d784f735,What color is the bacon strip on the front potato bomb,pinkish-red
081c681d784f735,Where is the third potato bomb located in the image,on the upper right side
081c681d784f735,Where is the potato visible on the front potato bomb,center
85bb3c2b39b014c,What color are the chocolate bombs,brown
85bb3c2b39b014c,How are the chocolate bombs arranged in the image,scattered
85bb3c2b39b014c,What color are the sprinkles on the chocolate bombs,sprinkles
85bb3c2b39b014c,What color is the background of the image,gray
85bb3c2b39b014c,Where are the chocolate bombs located in the image,across the image
93c163310633d74,What type of diet do the fat bombs cater to,vegan
93c163310633d74,What is the food served on,plate
93c163310633d74,What color are the smiley faces on the paper liners,yellow
93c163310633d74,Where are the fat bombs placed,on a white plate
93c163310633d74,What is the appearance of the fat bombs' surface,textured
e44b15c400606b5,What is filling the majority of the bowl,filling
e44b15c400606b5,What is the borscht served in,bowl
e44b15c400606b5,What is the consistency of the borscht,thick
e44b15c400606b5,What color are the specks of herbs in the borscht,green
e44b15c400606b5,Where is the dollop of sour cream located,in the center
866c86321ec03e9,What color is the vegetarian borscht,red
866c86321ec03e9,What is the color of the bowl,bowl
866c86321ec03e9,What color is the sour cream in the bowl,white
866c86321ec03e9,Where is the silver spoon in relation to the soup,submerged in
866c86321ec03e9,What are the visible chunks in the soup,vegetables
426bda7565b6f17,What is the texture of the Easter White Borscht,yellow
426bda7565b6f17,How are the sausage slices arranged in the borscht,scattered
426bda7565b6f17,What type of meat is scattered in the borscht,sausage
426bda7565b6f17,What color are some of the sausage slices on the outside,brown
426bda7565b6f17,Where are a few sausage slices located in the dish,on the left
8505f471abd8dba,What color is the bowl,white
8505f471abd8dba,Where is the bowl placed,bowl
8505f471abd8dba,What color is the sauce,reddish-brown
8505f471abd8dba,What vegetable is dark purplish-red,beets
8505f471abd8dba,Where is the dish resting,on a wooden surface
6d255e7a00211f4,What color is the broth of the borscht,reddish-purple
6d255e7a00211f4,How are the pieces of beef and beets arranged in the borscht,scattered
6d255e7a00211f4,What type of meat is in the borscht,beef
6d255e7a00211f4,Where does the dollop of sour cream sit,sits in
6d255e7a00211f4,What color are the parsley leaves on top of the borscht,green
10713245b165a75,What color is the borscht,red
10713245b165a75,What type of cabbage is in the borscht,cabbage
10713245b165a75,What color is the sour cream,white
10713245b165a75,Where is the sour cream located,with
10713245b165a75,What color are the dill sprigs,green
