Image,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6
c52a4ad00e6aac3,What is the texture of the dip?,creamy,What type of food is the Jalapeño-Cilantro Ranch Dip?,dip,How is the dip positioned on the chip?,piled on top,What ingredient gives the dip its speckled appearance?,jalapeño,Where is the dip located in the image??,located
b167de7d38df6be,What is the color of the melted cheese on top of the dip?,reddish-brown,What is the dip served with?,dip,What color is the pan containing the dip?,white,Where is the melted cheese located?,on top,What is the bread displayed on??,bread
b1b1846605a1a1d,What color is the plate?,white,What type of meat is included in the dish?,chicken,What color are the nachos?,tan,Where are the black beans placed?,on top,What color are the scallions??,green
48112d28863d232,What color is the dip primarily?,yellow,What type of vegetable is used as a topping?,tomato,What color are the basil leaves?,green,What is the texture of the dip?,creamy,Where is the dip located in the image??,in the image
5a146137db151f0,What word describes the Mexican Dip in the description?,fantastic,What is the main dish in the image?,dip,What color is the dish used for the dip?,white,What color is the base layer of the dip?,orange,Where are the diced red tomatoes scattered??,across the top
c56ec847b11cdf0,What vegetable is visible in the dip?,artichoke,What color is the serving dish?,white,What color is the surface of the dip?,golden-brown,Where is the artichoke dip located in the image?,in the center,What is the dish in the image used for??,dip
4a638666b7ab2f1,What color is the ceramic baking dish?,blue,What is the main vegetable in the dip?,artichoke,What is the texture of the artichoke dip?,creamy,How does the top surface of the dip appear?,browned,Where is the baking dish placed in the image??,on the right side
e493d73bc9d382e,What cooking method was used to prepare the dip?,baking,What type of dish is shown in the image?,dip,What is the predominant color of the dip?,yellow,What is the texture of the cheese in the dip?,melted,What type of dish is the dip served in??,in a clear glass
9266f705af3dbc4,What color is the Skordalia?,yellow,Where is the Skordalia located in the image?,located in,What is the Skordalia served in?,bowl,What is drizzled on top of the Skordalia?,drizzle,What color are the flecks on top of the Skordalia??,green
9d82aa2e95578a4,What color is the pot that holds the dip?,orange,What is the dip housed in?,pot,What is scattered to the left of the pot?,nuts,Where is the wedge of lime located?,on the left,What color is the lime wedge??,green
539ec257d67f5db,What color are the chocolate chips on the dip?,brown,What is the main flavor of the dip?,chocolate,How are the chocolate chips arranged on the dip?,scattered,What is the dip served with?,dip,Where are the chocolate chips located on the dip??,on the top
fd0b4c09460561b,What color is the peanut cilantro dip?,olive-green,What is the peanut cilantro dip served in?,dip,What is the main ingredient in the dip?,peanut,Where is the dip positioned in the image?,in the center,What herb is used in the dip??,cilantro
830ea892f4811da,What color is the broomstick dip?,brown,What does the broomstick dip do to the bowl?,fills,What is the color of the bowl containing the dip?,bowl,What is the texture of the dip on top?,swirled,Where is the bowl containing the dip positioned??,in the center
243b32b5fe1902f,What color is the bowl?,blue,What is the dip contained in?,bowl,How does the dip appear?,appearing,What color are the tomatoes?,red,Where is the tortilla chip positioned??,on top
0106d94b86f578c,What color is the dip?,red,What vegetable is used in the dip?,pepper,Where is the dip located in relation to the pasta?,covering most of,What is the base layer of the dish?,pasta,What color is the pasta??,yellow
82282cd899bd77f,What color is the rim of the bowl?,green,What is the dip contained in?,bowl,What type of chips are on the left side of the bowl?,chips,What color are the triangular tortilla chips?,yellow,Where are the chips arranged??,on a white plate
543a807478f983f,What is the black bean dip doing in the bowl?,filling,What type of dip is shown in the image?,bean,What color is the black bean dip?,brown-black,What is the black bean dip served in?,dip,Where is the bowl of black bean dip located in the image??,in the center-left
de279c2371692be,What color is the pinto bean dip?,brownish-tan,What is the dip contained within?,bowl,Where is the dip located in the image?,contained within,What color are the stripes on the rim of the bowl?,orange,What is the single tortilla chip doing in the dip??,plunged
09eda462d81055e,What color is the Edamole?,green,What is the shape of the bowl that contains the Edamole?,bowl,What color is the cream on top of the dip?,white,What is the state of the red tomatoes on the dip?,diced,Where are the diced red tomatoes located??,on top of
51f79bb597aad37,How would you describe the appearance of the Moroccan Carrot Dip?,vibrant,What is the Moroccan Carrot Dip served with?,dip,Where is the Moroccan Carrot Dip located?,located in,What is the Moroccan Carrot Dip served in?,bowl,How is the Moroccan Carrot Dip arranged in the bowl??,piled
adfb72af7a0bd14,What color is the base layer of the Chunky Pizza Dip?,white,What type of dish is the Chunky Pizza Dip?,pizza,What color are the pepperoni slices on the Chunky Pizza Dip?,red,Where are the toppings scattered on the Chunky Pizza Dip?,across the surface,What color are the chives used as garnish on the Chunky Pizza Dip??,green
d80b7a67c7576f4,What color are the octodogs?,brown,What are the octodogs placed on?,plate,What is the color of the spinach leaves?,spinach,What color are the smiles on the octodogs?,yellow,Where is the second octodog located relative to the first??,to the left
e597fd67f269eb7,What color are the corn dogs?,golden,What type of food is shown in the image?,corn dogs,How are the corn dogs positioned relative to each other?,overlapping,What color is the surface of the corn dogs?,brown,Where is the top corn dog placed??,across the top
960e4e84e621eba,What color is the exterior of the corn dogs?,golden-brown,What food item is shown in the image?,corn dogs,What color is the sausage inside the corn dogs?,pink,What is the color of the mustard in the bowl?,of the corn dogs,Where are the glass bowls located in relation to the corn dogs??,yellow
798ecdbca988618,What color is the plate?,white,What color is the hot dog bun?,bun,What color is the hot dog?,yellow,What color are the caramelized onions?,reddish-brown,Where are the caramelized onions placed??,on the bun
e9b1ea51fcd8b79,What is the texture of the filling?,creamy,What type of dessert is shown in the image?,cake,What color are the cake layers?,brown,Where is the filling located in the cake?,centered,Where is the Devil Dog positioned in the image??,in the image
5d636255c3e5dbf,What color are the bottom two potato dogs?,brown,What food item is being described?,potato dogs,What color is the sauce on the bottom two potato dogs?,beige,What is revealed by the top potato dog being cut in half?,revealing,Where is the top potato dog positioned??,on top of
4b79ce07a93ee19,What color is the hot dog?,reddish-brown,What animal is associated with the food?,dog,What color is the mustard?,yellow,Where is the mustard and relish located?,near the left,What form are the onions in??,diced
43caad53a369f75,What temperature is the food in the pan?,hot,What is the food cooked in?,pan,What color is the farfalle pasta?,yellow,What color are the sliced hot dogs?,reddish-brown,Where is the shredded cheddar cheese??,on the top
9f893ecfeca3a8b,What is the predominant color of the hot dog burnt ends?,reddish-brown,What type of food is featured in the image?,hot dog,How are the hot dog burnt ends arranged on the plate?,piled,What color is the plate under the hot dog burnt ends?,light green,Where is the bowl of yellowish-brown sauce located??,with
