,Image,Question,Answer
27981,2ce1d9a8c165206,What is the vibrant yellow color of,is
27982,2ce1d9a8c165206,What is the lemon dressing described as,vibrant
27983,2ce1d9a8c165206,What is the main ingredient in the dressing,lemon
27984,2ce1d9a8c165206,Where is the clear glass pitcher positioned,on the cutting board
27985,e88cfb2a3814103,What color is the spinach in the salad,dark green
27986,e88cfb2a3814103,How is the spinach arranged in the salad,distributed
27987,e88cfb2a3814103,What is the glossy coating on the salad,salad dressing
27988,e88cfb2a3814103,What color is the salad dressing,dark brown
27989,e88cfb2a3814103,Where is the spinach more concentrated in the salad,in the upper center
27990,77a158cc89233da,Where is the Lemon-Ginger Dressing located,located
27991,77a158cc89233da,What is the main ingredient in the carafe,dressing
27992,77a158cc89233da,What color is the Lemon-Ginger Dressing,yellow
27993,77a158cc89233da,What is the carafe made of,glass
27994,77a158cc89233da,Where is the carafe positioned in the image,in the center
27995,7eba902b1d9f2a8,What is the flavor profile of the salad dressing,sweet
27996,7eba902b1d9f2a8,What is the salad dressing used for,dressing
27997,7eba902b1d9f2a8,What color is the salad dressing,beige
27998,7eba902b1d9f2a8,What does the salad dressing fill in the jar,fills
27999,7eba902b1d9f2a8,Where is the jar positioned in the image,in the left half
28000,e2c31625271c41b,What is the dressing stored in,dressing
28001,e2c31625271c41b,What type of bottle is the dressing in,in a glass bottle
28002,e2c31625271c41b,What color is the dressing,yellow
28003,e2c31625271c41b,Where is the dressing positioned,positioned
28004,e2c31625271c41b,What is the dressing next to,salad
28005,e1f855e861f3c3e,What is the appearance of the salad dressing,clear
28006,e1f855e861f3c3e,What type of food is in the bowl,salad
28007,e1f855e861f3c3e,What color are most of the salad leaves,green
28008,e1f855e861f3c3e,Where are the salad leaves placed,in a bowl
28009,e1f855e861f3c3e,What color are some of the spots on the salad leaves,red
28010,7d44ec730136ece,What color is the dressing,brownish-orange
28011,7d44ec730136ece,What is contained in the clear glass jar,contained
28012,7d44ec730136ece,What is the jar made of,jar
28013,7d44ec730136ece,What is in the white bowl with a blue rim,salad
28014,7d44ec730136ece,Where is the jar positioned relative to the salad,over the salad
28015,6ca6396676f04cb,What color are the tomato pieces,red
28016,6ca6396676f04cb,What form are the tomatoes in,pieces
28017,6ca6396676f04cb,What color are the basil flecks,green
28018,6ca6396676f04cb,What is the container used to hold the mixture,bowl
28019,6ca6396676f04cb,Where are all the items placed,in a clear glass bowl
28020,0e2f194cb89945b,How is the dressing separated in the jar,separated
28021,0e2f194cb89945b,What material is the jar made of,glass
28022,0e2f194cb89945b,What color is the bottom layer of the dressing,orange-brown
28023,0e2f194cb89945b,What part of the jar does the bottom layer occupy,of the jar
28024,0e2f194cb89945b,What color is the upper layer of the dressing,yellow
28025,cbb0e363970f374,How would you describe the appearance of the salad,vibrant
28026,cbb0e363970f374,What does the salad contain besides greens,contains
28027,cbb0e363970f374,What color are the pieces of cabbage in the salad,red
28028,cbb0e363970f374,What color are the cubes of cheese in the salad,yellow
28029,cbb0e363970f374,Where is the small white bowl containing the dressing located,in the upper right
28030,10bdc27881a6f80,What color is the celery stalk,beige
28031,10bdc27881a6f80,What is the dressing contained in,contained
28032,10bdc27881a6f80,What type of container is the dressing in,jar
28033,10bdc27881a6f80,What color is the celery stalk,green
28034,10bdc27881a6f80,Where is the jar located in the image,on the right side
28035,8a8f973351bd0f0,What color is the French Dressing II,reddish-orange
28036,8a8f973351bd0f0,What is the French Dressing II drizzled over,salad
28037,8a8f973351bd0f0,What is the appearance of the French Dressing II,glossy
28038,8a8f973351bd0f0,Where does the French Dressing II pool,on top
28039,8a8f973351bd0f0,What is under the French Dressing II,lettuce
28040,677abcb8e8797c6,What is the taste of the dressing,sweet
28041,677abcb8e8797c6,What is the Sweet and Spicy French Dressing used for,dressing
28042,677abcb8e8797c6,What is the dressing contained in,contained
28043,677abcb8e8797c6,What material is the pitcher made of,glass
28044,677abcb8e8797c6,Where is the pitcher positioned,in the foreground
28045,3a17a5dfd18607b,What color is the sesame dressing,brown
28046,3a17a5dfd18607b,What is the sesame dressing used for,dressing
28047,3a17a5dfd18607b,Are the red pepper flecks scattered,scattered
28048,3a17a5dfd18607b,What material is the serving dish made of,glass
28049,3a17a5dfd18607b,Where is the glass dish positioned relative to the red pepper flecks,to the right
28050,abcba5a891f98bc,What is the Sweet n' Sour Salad Dressing contained in,brown
28051,abcba5a891f98bc,What is the Sweet n' Sour Salad Dressing contained within,contained
28052,abcba5a891f98bc,What is the Sweet n' Sour Salad Dressing placed in,container
28053,abcba5a891f98bc,What is the food item in the background,salad
28054,abcba5a891f98bc,"What does the clear, decorative glass container have",with a handle
28055,3824b50520bec8b,What color is the glass pitcher,clear
28056,3824b50520bec8b,What is the container for the maple salad dressing,pitcher
28057,3824b50520bec8b,How full is the pitcher with the dressing,fills
28058,3824b50520bec8b,What color is the maple salad dressing,brown
28059,3824b50520bec8b,Where is the pitcher positioned,on a white
28060,b87bae645e5611e,How is the Honeymoon Dressing applied to the salad,drizzled
28061,b87bae645e5611e,What is the dish in the image,salad
28062,b87bae645e5611e,What is on top of the salad,croutons
28063,b87bae645e5611e,Where is the Honeymoon Dressing drizzled,on top
28064,b87bae645e5611e,What part of the salad is covered by the Honeymoon Dressing,entire
28065,e0ac38bf875b31b,What color is the top portion of the dressing,orange
28066,e0ac38bf875b31b,What is the appearance of the bottom portion of the dressing,translucent
28067,e0ac38bf875b31b,What material is the pitcher made of,glass
28068,e0ac38bf875b31b,Where does the pitcher sit,sits amongst
28069,e0ac38bf875b31b,What is scattered within the salad,chopped
28070,8192bda1074eccb,What is the color of the Lite Italian Salad Dressing,yellowish-golden
28071,8192bda1074eccb,What is the container used for the Lite Italian Salad Dressing,pitcher
28072,8192bda1074eccb,What has happened to some of the dressing around the pitcher,spilled
28073,8192bda1074eccb,What is the surface material under the pitcher,wooden
28074,8192bda1074eccb,What is in the wooden bowl behind the pitcher,with green lettuce
28080,116002d073c7d09,What color is the poppyseed salad dressing,clear
28081,116002d073c7d09,What is the poppyseed salad dressing stored in,container
28082,116002d073c7d09,What color describes the poppyseed salad dressing,grayish-white
28083,116002d073c7d09,Where are the poppyseeds suspended in the dressing,suspended
28084,116002d073c7d09,Where are many poppyseeds visible,along the bottom
28090,f35174a185eed29,What type of dressing is being poured,sparkling
28091,f35174a185eed29,What is the dressing being poured onto,salad
28092,f35174a185eed29,What color is the Sparkling Cranberry Dressing,red
28093,f35174a185eed29,What is holding the clear bottle,hand
28094,f35174a185eed29,Where is the dressing pooling,on top of
28095,dd779ab64fc38d0,What is the flavor of the tamari dressing,tangy
28096,dd779ab64fc38d0,What is the consistency of the tamari dressing,liquid
28097,dd779ab64fc38d0,What color is the tamari dressing,brownish-green
28098,dd779ab64fc38d0,Where is the salad located in relation to the dressing,in the foreground
28099,dd779ab64fc38d0,What are the green flecks in the dressing doing,mixed
28105,8b752e2f36bbec5,What is the Vegan Creamy Southwest Dressing called,dressing
28106,8b752e2f36bbec5,What does the Vegan Creamy Southwest Dressing do in the bowl,fills
28107,8b752e2f36bbec5,What color is the Vegan Creamy Southwest Dressing,peach-colored
28108,8b752e2f36bbec5,What color is the lime wedge,green
28109,8b752e2f36bbec5,Where is the lime wedge located,on the right edge
28110,7d3c5f394834654,What flavor does the raspberry balsamic dressing have,spicy
28111,7d3c5f394834654,What is the dark brown liquid on the salad called,dressing
28112,7d3c5f394834654,What color is the raspberry balsamic dressing,brown
28113,7d3c5f394834654,Where is the dressing located on the tomato,on the
28114,7d3c5f394834654,What type of tomatoes are scattered across the salad,tomato
28115,527325cdc3753a5,What is the taste of the Sweet Pepper French Dressing,sweet
28116,527325cdc3753a5,What is the Sweet Pepper French Dressing stored in,pitcher
28117,527325cdc3753a5,What color is the Sweet Pepper French Dressing,orange
28118,527325cdc3753a5,Where is the lighter peach shade of the dressing,on the surface
28119,527325cdc3753a5,What kind of surface is the pitcher sitting on,woven
28120,4390b024b931d47,What is the My Own Salad Dressing bottle made of,glass
28121,4390b024b931d47,What color is the dressing mixture,yellow
28122,4390b024b931d47,What is the dressing a mixture of,mixture
28123,4390b024b931d47,What color are the visible particles in the dressing,green
28124,4390b024b931d47,Where is the glass bottle positioned in the image,near the center of
28125,5b182739001b749,What color is the Ruby French Dressing,brownish-red
28126,5b182739001b749,What type of container is the Ruby French Dressing in,jar
28127,5b182739001b749,What is the appearance of the jar's material,clear
28128,5b182739001b749,Where is the jar positioned in the image,in the center
28129,5b182739001b749,How does the top surface of the dressing appear,wet
28130,7f8992ed39cf2a1,What color is the bowl,white
28131,7f8992ed39cf2a1,What is the Japanese Dressing served in,bowl
28132,7f8992ed39cf2a1,What color is the Japanese Dressing,orange
28133,7f8992ed39cf2a1,Where is the Japanese Dressing positioned in the image,above the center
28134,7f8992ed39cf2a1,What is the Japanese Dressing sitting atop,salad
28140,1c524c5fc59badb,What color is the Strawberry Poppyseed Dressing,pinkish-red
28141,1c524c5fc59badb,What is the Strawberry Poppyseed Dressing stored in,jar
28142,1c524c5fc59badb,What seeds are visible in the Strawberry Poppyseed Dressing,poppy seeds
28143,1c524c5fc59badb,How would you describe the consistency of the Strawberry Poppyseed Dressing,thick
28144,1c524c5fc59badb,Where is some of the Strawberry Poppyseed Dressing drizzled,over the spinach salad
28145,7b7e47f02edd00b,How is the dressing added to the lettuce,poured
28146,7b7e47f02edd00b,What color is the ginger dressing,light
28147,7b7e47f02edd00b,What color is the dressing,orange
28148,7b7e47f02edd00b,What is under the ginger dressing,lettuce
28149,7b7e47f02edd00b,Where is the ginger dressing poured,on top of
28155,2328777e781f0bb,What is in the glass in the foreground,drink
28156,2328777e781f0bb,What is the state of some of the strawberries,sliced
28157,2328777e781f0bb,What color are the strawberries,red
28158,2328777e781f0bb,What is the glass in the foreground filled with,filled with
28159,2328777e781f0bb,What is sticking out of the top of the glass,spoon
28165,301f38a776c3b41,What color is the drink,reddish-brown
28166,301f38a776c3b41,What is the drink served in,glass
28167,301f38a776c3b41,What does the drink contain besides ice cubes,contains
28168,301f38a776c3b41,What color are the chunks of fruit in the drink,yellow
28169,301f38a776c3b41,Where are the green lime and paper umbrella located,on the rim
28175,69d601d06434a4c,What is the main ingredient in the drink,tomato
28176,69d601d06434a4c,What is the drink doing in the glass,filling
28177,69d601d06434a4c,What color is the tomato drink,red
28178,69d601d06434a4c,Where is the celery stalk located,on the right
28179,69d601d06434a4c,What color is the celery stalk,green
28180,fe37ce8b9dfe368,What is the state of the drink in the image,drink
28181,fe37ce8b9dfe368,How would you describe the color of the drink,vibrant
28182,fe37ce8b9dfe368,What does the drink do to the bottle,fills
28183,fe37ce8b9dfe368,What is the container for the drink,bottle
28184,fe37ce8b9dfe368,Where is the lighter-colored substance located,at the top
28185,e0853e0f609e0d8,What color is the smoothie,orange
28186,e0853e0f609e0d8,What type of drink is shown in the image,smoothie
28187,e0853e0f609e0d8,How much of the glass does the smoothie fill,fills
28188,e0853e0f609e0d8,What fruit is used in the smoothie,banana
28189,e0853e0f609e0d8,Where is the banana slice placed,on top of
28190,57c67f38839d81f,What is the primary color of the Portuguese Snow Drops,white
28191,57c67f38839d81f,What are the white speckled treats called,Snow Drops
28192,57c67f38839d81f,Where are the Portuguese Snow Drops placed,bowl
28193,57c67f38839d81f,What has happened to some of the Snow Drops around the bowl,fallen out
28194,57c67f38839d81f,Where are the additional Snow Drops located,of them
28195,e779751b5a5704e,What is the color of the oatmeal in the drops,light
28196,e779751b5a5704e,What is the main ingredient in the cookies,oatmeal
